2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status triggers-pending systemd:amd64 215-17
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status unpacked apache2:amd64 2.4.10-10
2015-05-20 23:52:06 status half-configured apache2:amd64 2.4.10-10
2015-05-20 23:52:13 status installed apache2:amd64 2.4.10-10
2015-05-20 23:52:13 configure libsasl2-modules:amd64 2.1.26.dfsg1-13 <aucune>
2015-05-20 23:52:13 status unpacked libsasl2-modules:amd64 2.1.26.dfsg1-13
2015-05-20 23:52:14 status unpacked libsasl2-modules:amd64 2.1.26.dfsg1-13
2015-05-20 23:52:14 status half-configured libsasl2-modules:amd64 2.1.26.dfsg1-13
2015-05-20 23:52:14 status installed libsasl2-modules:amd64 2.1.26.dfsg1-13
2015-05-20 23:52:14 configure ssl-cert:all 1.0.35 <aucune>
2015-05-20 23:52:14 status unpacked ssl-cert:all 1.0.35
2015-05-20 23:52:14 status half-configured ssl-cert:all 1.0.35
2015-05-20 23:52:18 status installed ssl-cert:all 1.0.35
2015-05-20 23:52:18 trigproc libc-bin:amd64 2.19-18 <aucune>
2015-05-20 23:52:18 status half-configured libc-bin:amd64 2.19-18
2015-05-20 23:52:18 status installed libc-bin:amd64 2.19-18
2015-05-20 23:52:18 trigproc systemd:amd64 215-17 <aucune>
2015-05-20 23:52:18 status half-configured systemd:amd64 215-17
2015-05-20 23:52:18 status installed systemd:amd64 215-17
2015-05-20 23:52:18 startup packages configure
2015-05-20 23:56:38 startup archives unpack
2015-05-20 23:56:38 install libmagic1:amd64 <aucune> 1:5.22+15-2
2015-05-20 23:56:38 status half-installed libmagic1:amd64 1:5.22+15-2
2015-05-20 23:56:38 status triggers-pending man-db:amd64 2.7.0.2-5
2015-05-20 23:56:38 status unpacked libmagic1:amd64 1:5.22+15-2
2015-05-20 23:56:38 status unpacked libmagic1:amd64 1:5.22+15-2
2015-05-20 23:56:38 install libonig2:amd64 <aucune> 5.9.5-3.2
2015-05-20 23:56:38 status half-installed libonig2:amd64 5.9.5-3.2
2015-05-20 23:56:39 status unpacked libonig2:amd64 5.9.5-3.2
2015-05-20 23:56:39 status unpacked libonig2:amd64 5.9.5-3.2
2015-05-20 23:56:39 install libperl4-corelibs-perl:all <aucune> 0.003-1
2015-05-20 23:56:39 status half-installed libperl4-corelibs-perl:all 0.003-1
2015-05-20 23:56:39 status unpacked libperl4-corelibs-perl:all 0.003-1
2015-05-20 23:56:39 status unpacked libperl4-corelibs-perl:all 0.003-1
2015-05-20 23:56:39 install lsof:amd64 <aucune> 4.86+dfsg-1
2015-05-20 23:56:39 status half-installed lsof:amd64 4.86+dfsg-1
2015-05-20 23:56:39 status unpacked lsof:amd64 4.86+dfsg-1
2015-05-20 23:56:39 status unpacked lsof:amd64 4.86+dfsg-1
2015-05-20 23:56:40 install libqdbm14:amd64 <aucune> 1.8.78-5+b1
2015-05-20 23:56:40 status half-installed libqdbm14:amd64 1.8.78-5+b1
2015-05-20 23:56:40 status unpacked libqdbm14:amd64 1.8.78-5+b1
2015-05-20 23:56:40 status unpacked libqdbm14:amd64 1.8.78-5+b1
2015-05-20 23:56:40 install php5-common:amd64 <aucune> 5.6.7+dfsg-1
2015-05-20 23:56:40 status half-installed php5-common:amd64 5.6.7+dfsg-1
2015-05-20 23:56:41 status unpacked php5-common:amd64 5.6.7+dfsg-1
2015-05-20 23:56:41 status unpacked php5-common:amd64 5.6.7+dfsg-1
2015-05-20 23:56:41 install php5-json:amd64 <aucune> 1.3.6-1
2015-05-20 23:56:41 status half-installed php5-json:amd64 1.3.6-1
2015-05-20 23:56:41 status unpacked php5-json:amd64 1.3.6-1
2015-05-20 23:56:41 status unpacked php5-json:amd64 1.3.6-1
2015-05-20 23:56:41 install php5-cli:amd64 <aucune> 5.6.7+dfsg-1
2015-05-20 23:56:41 status half-installed php5-cli:amd64 5.6.7+dfsg-1
2015-05-20 23:56:42 status unpacked php5-cli:amd64 5.6.7+dfsg-1
2015-05-20 23:56:42 status unpacked php5-cli:amd64 5.6.7+dfsg-1
